date,target,model,actual,predicted,error
2025-11-02,hhs_care_load,Exponential smoothing,2277.0,2124.0964343269397,152.90356567306026
2025-11-03,hhs_care_load,Exponential smoothing,2269.0,2124.0964343269397,144.90356567306026
2025-11-04,hhs_care_load,Exponential smoothing,2270.0,2124.0964343269397,145.90356567306026
2025-11-05,hhs_care_load,Exponential smoothing,2272.0,2124.0964343269397,147.90356567306026
2025-11-06,hhs_care_load,Exponential smoothing,2264.0,2124.0964343269397,139.90356567306026
2025-11-07,hhs_care_load,Exponential smoothing,2274.0,2124.0964343269397,149.90356567306026
2025-11-08,hhs_care_load,Exponential smoothing,2284.0,2124.0964343269397,159.90356567306026
2025-11-09,hhs_care_load,Exponential smoothing,2294.0,2124.0964343269397,169.90356567306026
2025-11-10,hhs_care_load,Exponential smoothing,2294.0,2124.0964343269397,169.90356567306026
2025-11-11,hhs_care_load,Exponential smoothing,2294.0,2124.0964343269397,169.90356567306026
2025-11-12,hhs_care_load,Exponential smoothing,2302.0,2124.0964343269397,177.90356567306026
2025-11-13,hhs_care_load,Exponential smoothing,2317.0,2124.0964343269397,192.90356567306026
2025-11-14,hhs_care_load,Exponential smoothing,2324.6666666666665,2124.0964343269397,200.57023233972677
2025-11-15,hhs_care_load,Exponential smoothing,2332.3333333333335,2124.0964343269397,208.23689900639374
2025-11-16,hhs_care_load,Exponential smoothing,2340.0,2124.0964343269397,215.90356567306026
2025-11-17,hhs_care_load,Exponential smoothing,2343.0,2124.0964343269397,218.90356567306026
2025-11-18,hhs_care_load,Exponential smoothing,2345.0,2124.0964343269397,220.90356567306026
2025-11-19,hhs_care_load,Exponential smoothing,2340.0,2124.0964343269397,215.90356567306026
2025-11-20,hhs_care_load,Exponential smoothing,2340.0,2124.0964343269397,215.90356567306026
2025-11-21,hhs_care_load,Exponential smoothing,2351.6666666666665,2124.0964343269397,227.57023233972677
2025-11-22,hhs_care_load,Exponential smoothing,2363.3333333333335,2124.0964343269397,239.23689900639374
